metric,value
total_outputs,32
image_grounded_answer_count,12
appropriate_abstention_count,6
hard_mirage_count,5
soft_mirage_count,0
answers_without_visual_evidence_count,10
blank_image_failure_count,7
mismatched_image_failure_count,1
unscorable_count,0
image_present_outputs,8
no_image_outputs,8
blank_image_outputs,8
mismatched_image_outputs,8
image_present_grounded_or_correct_count,5
no_image_answer_without_visual_evidence_count,2
total_bundles,8
condition_sensitive_bundle_count,6
condition_insensitive_bundle_count,2
